name;id;country
Michelstadt-Vielbrunn ;10648;Germany
Wuerzburg ;10655;Germany
Bad Kissingen ;10658;Germany
Coburg ;10671;Germany
Bamberg ;10675;Germany
Hof-Hohensaas ;10685;Germany
Wunsiedel-Schoenbrunn ;10686;Germany
Weiden ;10688;Germany
Berus ;10704;Germany
Tholey ;10706;Germany
Saarbruecken / Ensheim ;10708;Germany
Weinbiet ;10724;Germany
Mannheim ;10729;Germany
Rheinstetten ;10731;Germany
Waibstadt ;10733;Germany
Muehlacker ;10736;Germany
Stuttgart-Echterdingen ;10738;Germany
Stuttgart / Schnarrenberg ;10739;Germany
Oehringen ;10742;Germany
Niederstetten ;10743;Germany
Kaisersbach-Cronhuette ;10747;Germany
Feuchtwangen-Heilbronn ;10756;Germany
Weissenburg ;10761;Germany
Nuernberg ;10763;Germany
Roth ;10765;Germany
Kuemmersbruck ;10771;Germany
Regensburg ;10776;Germany
Gelbelsee ;10777;Germany
Waldmuenchen ;10782;Germany
Straubing ;10788;Germany
Grosser Arber ;10791;Germany
Zwiesel ;10796;Germany
Freiburg i. Br. ;10803;Germany
Lahr ;10805;Germany
Freudenstadt ;10815;Germany
Klippeneck ;10818;Germany
Messstetten ;10827;Germany
Stoetten ;10836;Germany
Laupheim ;10837;Germany
Ulm-Maehringen ;10840;Germany
Harburg ;10850;Germany
Augsburg ;10852;Germany
Neuburg / Donau ;10853;Germany
Lechfeld ;10856;Germany
Ingolstadt ;10860;Germany
Weihenstephan ;10863;Germany
Muenchen-Stadt ;10865;Germany
Muenchen-Flughafen ;10870;Germany
Gottfrieding ;10872;Germany
Muehldorf ;10875;Germany
Fuerstenzell ;10895;Germany
Schauinsland/Freiburg (Ctbt) ;10906;Germany
Feldberg / Schwarzwald ;10908;Germany
Konstanz ;10929;Germany
Leutkirch-Herlazhofen ;10945;Germany
Kempten ;10946;Germany
Oberstdorf ;10948;Germany
Altenstadt ;10954;Germany
Zugspitze ;10961;Germany
Hohenpeissenberg ;10962;Germany
Garmisch-Partenkirchen ;10963;Germany
Chieming ;10982;Germany
